Ob. horn-/jorduggla;Asio;Brisson, 1760;;1
Jorduggla;Asio flammeus;(Pontoppidan, 1763);;7
Hornuggla;Asio otus;(Linnaeus, 1758);NT;23
Berguv;Bubo bubo;(Linnaeus, 1758);VU;12
Kattuggla;Strix aluco;Linnaeus, 1758;;76
Fiskgjuse;Pandion haliaetus;(Linnaeus, 1758);;25
Bivråk;Pernis apivorus;(Linnaeus, 1758);;54
Stäppörn;Aquila nipalensis;(Hodgson, 1833);;1
Kungsörn;Aquila chrysaetos;(Linnaeus, 1758);NT;40
Sparvhök;Accipiter nisus;(Linnaeus, 1758);;198
Duvhök;Astur gentilis;(Linnaeus, 1758);NT;52
Stäpphök;Circus macrourus;(S.G.Gmelin, 1771);;2
Blå kärrhök;Circus cyaneus;(Linnaeus, 1766);NT;161
Brun kärrhök;Circus aeruginosus;(Linnaeus, 1758);;128
Ob. stäpp-/ängshök;Circus macrourus/pygargus;;NE;1
Röd glada;Milvus milvus;(Linnaeus, 1758);;1208
Brun glada;Milvus migrans;(Boddaert, 1783);EN;13
Havsörn;Haliaeetus albicilla;(Linnaeus, 1758);NT;229
Fjällvråk;Buteo lagopus;(Pontoppidan, 1763);NT;220
Ormvråk;Buteo buteo;(Linnaeus, 1758);;850
Ob. vråk;Buteo/Pernis;;;1
Kungsfiskare;Alcedo atthis;(Linnaeus, 1758);VU;17
Göktyta;Jynx torquilla;Linnaeus, 1758;;5
Gröngöling;Picus viridis;Linnaeus, 1758;;88
Spillkråka;Dryocopus martius;(Linnaeus, 1758);NT;68
Större hackspett;Dendrocopos major;(Linnaeus, 1758);;273
Mindre hackspett;Dryobates minor;(Linnaeus, 1758);NT;15
Tornfalk;Falco tinnunculus;Linnaeus, 1758;;514
Aftonfalk;Falco vespertinus;Linnaeus, 1766;;1
Stenfalk;Falco columbarius;Linnaeus, 1758;NT;52
Lärkfalk;Falco subbuteo;Linnaeus, 1758;;37
Pilgrimsfalk;Falco peregrinus;Tunstall, 1771;NT;45
Varfågel;Lanius excubitor;Linnaeus, 1758;;38
Törnskata;Lanius collurio;Linnaeus, 1758;;24
Nötskrika;Garrulus glandarius;(Linnaeus, 1758);;88
Skata;Pica pica;(Linnaeus, 1758);;152
Nötkråka;Nucifraga caryocatactes;(Linnaeus, 1758);NE;7
Kaja;Coloeus monedula;(Linnaeus, 1758);;219
Råka;Corvus frugilegus;Linnaeus, 1758;;288
Korp;Corvus corax;Linnaeus, 1758;;256
Kråka;Corvus corone;Linnaeus, 1758;NT;4
Gråkråka;Corvus corone cornix;Linnaeus, 1758;NE;413
Blåmes;Cyanistes caeruleus;(Linnaeus, 1758);;149
Talgoxe;Parus major;Linnaeus, 1758;;159
Svartmes;Periparus ater;(Linnaeus, 1758);;52
Tofsmes;Lophophanes cristatus;(Linnaeus, 1758);;7
Entita;Poecile palustris;(Linnaeus, 1758);NT;122
Talltita;Poecile montanus;(Conrad von Baldenstein, 1827);NT;13
Trädlärka;Lullula arborea;(Linnaeus, 1758);;17
Sånglärka;Alauda arvensis;Linnaeus, 1758;;542
Härmsångare;Hippolais icterina;(Vieillot, 1817);;39
Sävsångare;Acrocephalus schoenobaenus;(Linnaeus, 1758);;4
Kärrsångare;Acrocephalus palustris;(Bechstein, 1798);;51
Rörsångare;Acrocephalus scirpaceus;(Hermann, 1804);NT;8
Gräshoppsångare;Locustella naevia;(Boddaert, 1783);;25
Backsvala;Riparia riparia;(Linnaeus, 1758);VU;96
Ladusvala;Hirundo rustica;Linnaeus, 1758;;302
Hussvala;Delichon urbicum;(Linnaeus, 1758);VU;92
Stjärtmes;Aegithalos caudatus;(Linnaeus, 1758);;39
Grönsångare;Phylloscopus sibilatrix;(Bechstein, 1793);NT;30
Lövsångare;Phylloscopus trochilus;(Linnaeus, 1758);;104
Gransångare;Phylloscopus collybita;(Vieillot, 1817);;174
Lundsångare;Phylloscopus trochiloides;(Sundevall, 1837);NT;1
Trädgårdssångare;Sylvia borin;(Boddaert, 1783);;63
Svarthätta;Sylvia atricapilla;(Linnaeus, 1758);;100
Ärtsångare;Curruca curruca;(Linnaeus, 1758);NT;68
Törnsångare;Curruca communis;(Latham, 1787);;65
Sidensvans;Bombycilla garrulus;(Linnaeus, 1758);;78
Brandkronad kungsfågel;Regulus ignicapilla;(Temminck, 1820);;10
Kungsfågel;Regulus regulus;(Linnaeus, 1758);;43
Nötväcka;Sitta europaea;Linnaeus, 1758;;157
Vanlig nötväcka;Sitta europaea europaea;Linnaeus, 1758;NE;1
Trädkrypare;Certhia familiaris;Linnaeus, 1758;;77
Trädgårdsträdkrypare;Certhia brachydactyla;C.L. Brehm, 1820;;1
Gärdsmyg;Troglodytes troglodytes;(Linnaeus, 1758);;130
Stare;Sturnus vulgaris;Linnaeus, 1758;VU;338
Strömstare;Cinclus cinclus;(Linnaeus, 1758);;7
Dubbeltrast;Turdus viscivorus;Linnaeus, 1758;;52
Taltrast;Turdus philomelos;C.L. Brehm, 1831;;69
Rödvingetrast;Turdus iliacus;Linnaeus, 1766;NT;58
Koltrast;Turdus merula;Linnaeus, 1758;;298
Björktrast;Turdus pilaris;Linnaeus, 1758;NT;200
Ringtrast;Turdus torquatus;Linnaeus, 1758;;1
Grå flugsnappare;Muscicapa striata;(Pallas, 1764);;31
Rödhake;Erithacus rubecula;(Linnaeus, 1758);;156
Näktergal;Luscinia luscinia;(Linnaeus, 1758);;90
Mindre flugsnappare;Ficedula parva;(Bechstein, 1794);;2
Svartvit flugsnappare;Ficedula hypoleuca;(Pallas, 1764);NT;41
Svart rödstjärt;Phoenicurus ochruros;(S.G. Gmelin, 1774);NT;33
Västlig svart rödstjärt;Phoenicurus ochruros gibraltariensis;(J.F. Gmelin, 1789);NE;1
Rödstjärt;Phoenicurus phoenicurus;(Linnaeus, 1758);;112
Buskskvätta;Saxicola rubetra;(Linnaeus, 1758);NT;111
Stenskvätta;Oenanthe oenanthe;(Linnaeus, 1758);;126
Järnsparv;Prunella modularis;(Linnaeus, 1758);;71
;Passer;Brisson, 1760;;0
Pilfink;Passer montanus;(Linnaeus, 1758);;114
Gråsparv;Passer domesticus;(Linnaeus, 1758);;68
Forsärla;Motacilla cinerea;Tunstall, 1771;;34
Gulärla;Motacilla flava;Linnaeus, 1758;;185
Sydlig gulärla;Motacilla flava flava;Linnaeus, 1758;NE;5
Nordlig gulärla;Motacilla flava thunbergi;Billberg, 1828;NE;1
Sädesärla;Motacilla alba;Linnaeus, 1758;;171
Trädpiplärka;Anthus trivialis;(Linnaeus, 1758);;65
Rödstrupig piplärka;Anthus cervinus;(Pallas, 1811);VU;1
Ängspiplärka;Anthus pratensis;(Linnaeus, 1758);;122
Ob. bo-/bergfink;Fringilla;Linnaeus, 1758;;26
Bergfink;Fringilla montifringilla;Linnaeus, 1758;;58
Bofink;Fringilla coelebs;Linnaeus, 1758;;158
Stenknäck;Coccothraustes coccothraustes;(Linnaeus, 1758);;86
Tallbit;Pinicola enucleator;(Linnaeus, 1758);VU;1
Domherre;Pyrrhula pyrrhula;(Linnaeus, 1758);;148
Grönfink;Chloris chloris;(Linnaeus, 1758);EN;227
Vinterhämpling;Linaria flavirostris;(Linnaeus, 1758);VU;54
Hämpling;Linaria cannabina;(Linnaeus, 1758);;211
Gråsiska;Acanthis flammea;(Linnaeus, 1758);;74
Ob. korsnäbb;Loxia;Linnaeus, 1758;;1
Bändelkorsnäbb;Loxia leucoptera;Gmelin, 1789;;6
Större korsnäbb;Loxia pytyopsittacus;Borkhausen, 1793;;1
Mindre korsnäbb;Loxia curvirostra;Linnaeus, 1758;;36
Steglits;Carduelis carduelis;(Linnaeus, 1758);;214
Gulhämpling;Serinus serinus;(Linnaeus, 1766);VU;1
Grönsiska;Spinus spinus;(Linnaeus, 1758);;53
Snösparv;Plectrophenax nivalis;(Linnaeus, 1758);;14
Sävsparv;Emberiza schoeniclus;(Linnaeus, 1758);NT;58
Kornsparv;Emberiza calandra;Linnaeus, 1758;EN;1
Gulsparv;Emberiza citrinella;Linnaeus, 1758;NT;275
